"EEZ","Species_count","Average","Species"
"Papua New Guinean Exclusive Economic Zone",62,4.001,"Acanthopagrus berda,Acetes japonicus,Argyrosomus japonicus,Asaphis violascens,Bolbometopon muricatum,Carangoides malabaricus,Caranx ignobilis,Caranx sexfasciatus,Chanos chanos,Cromileptes altivelis,Decapterus macrosoma,Eleutheronema tetradactylum,Epinephelus areolatus,Epinephelus chlorostigma,Epinephelus coioides,Epinephelus fuscoguttatus,Epinephelus lanceolatus,Epinephelus malabaricus,Epinephelus tauvina,Hippopus hippopus,Lates calcarifer,Lethrinus miniatus,Lutjanus argentimaculatus,Lutjanus bohar,Lutjanus erythropterus,Lutjanus johnii,Lutjanus malabaricus,Metapenaeus ensis,Mugil cephalus,Naso vlamingii,Pagrus auratus,Pagrus major,Panulirus polyphagus,Penaeus monodon,Penaeus semisulcatus,Pinctada maxima,Platax orbicularis,Polydactylus sexfilis,Portunus pelagicus,Portunus trituberculatus,Pseudocaranx dentex,Rachycentron canadum,Rhabdosargus sarba,Ruditapes philippinarum,Scomber japonicus,Scylla serrata,Seriola dumerili,Seriola lalandi,Seriola rivoliana,Siganus canaliculatus,Siganus lineatus,Tegillarca granosa,Terapon jarbua,Thenus orientalis,Thunnus albacares,Thunnus maccoyii,Thunnus orientalis,Trachinotus blochii,Tridacna gigas,Tridacna maxima,Tridacna squamosa,Turbo setosus"
"Peruvian Exclusive Economic Zone",22,5.429,"Argopecten ventricosus,Aulacomya ater,Caranx sexfasciatus,Chanos chanos,Choromytilus chorus,Decapterus macrosoma,Loxechinus albus,Lutjanus guttatus,Mugil cephalus,Mugil curema,Mytilus edulis,Mytilus galloprovincialis,Perna perna,Portunus pelagicus,Pseudocaranx dentex,Scomber japonicus,Seriola dumerili,Seriola lalandi,Seriola rivoliana,Thunnus albacares,Thunnus maccoyii,Thunnus orientalis"
"Philippines Exclusive Economic Zone",67,4.3,"Acanthopagrus berda,Acanthopagrus schlegelii,Acetes japonicus,Anguilla japonica,Argyrosomus japonicus,Asaphis violascens,Bolbometopon muricatum,Carangoides malabaricus,Caranx ignobilis,Caranx sexfasciatus,Chanos chanos,Cromileptes altivelis,Decapterus macrosoma,Eleutheronema tetradactylum,Epinephelus areolatus,Epinephelus chlorostigma,Epinephelus coioides,Epinephelus fuscoguttatus,Epinephelus lanceolatus,Epinephelus malabaricus,Epinephelus tauvina,Hippopus hippopus,Konosirus punctatus,Lates calcarifer,Lethrinus miniatus,Lutjanus argentimaculatus,Lutjanus bohar,Lutjanus erythropterus,Lutjanus johnii,Lutjanus malabaricus,Metapenaeus ensis,Mugil cephalus,Muraenesox cinereus,Naso vlamingii,Pagrus auratus,Pagrus major,Panulirus polyphagus,Paralichthys olivaceus,Penaeus monodon,Penaeus penicillatus,Penaeus semisulcatus,Perna viridis,Pinctada maxima,Platax orbicularis,Polydactylus sexfilis,Portunus pelagicus,Portunus trituberculatus,Rachycentron canadum,Rhabdosargus sarba,Ruditapes philippinarum,Scomber japonicus,Scylla serrata,Seriola dumerili,Seriola lalandi,Seriola rivoliana,Siganus canaliculatus,Siganus lineatus,Tegillarca granosa,Terapon jarbua,Thenus orientalis,Thunnus albacares,Thunnus orientalis,Trachinotus blochii,Tridacna gigas,Tridacna maxima,Tridacna squamosa,Turbo setosus"
"Polish Exclusive Economic Zone",13,4.479,"Anguilla anguilla,Cerastoderma edule,Cerastoderma glaucum,Gadus morhua,Liza ramada,Mytilus edulis,Platichthys flesus,Salmo salar,Salmo trutta,Scophthalmus maximus,Scophthalmus rhombus,Sepia officinalis,Thunnus thynnus"
"Portuguese Exclusive Economic Zone",7,2.539,"Carcinus maenas,Cerastoderma edule,Pecten maximus,Salmo salar,Salmo trutta,Scophthalmus maximus,Solea senegalensis"
"Portuguese Exclusive Economic Zone (Azores)",1,2.099,"Salmo salar"
"Portuguese Exclusive Economic Zone (Madeira)",3,3.757,"Dicentrarchus labrax,Pagellus bogaraveo,Solea senegalensis"
"Puerto Rican Exclusive Economic Zone",20,4.618,"Anguilla anguilla,Anguilla rostrata,Callinectes sapidus,Caranx hippos,Centropomus undecimalis,Chaetodipterus faber,Crassostrea rhizophorae,Crassostrea virginica,Lutjanus purpureus,Megalops atlanticus,Micropogonias furnieri,Mugil curema,Mugil liza,Mycteroperca bonaci,Pagrus pagrus,Panulirus argus,Pomatomus saltatrix,Seriola lalandi,Thunnus thynnus,Trachinotus carolinus"
"Qatari Exclusive Economic Zone",21,5.653,"Acanthopagrus bifasciatus,Asaphis violascens,Carangoides malabaricus,Caranx sexfasciatus,Decapterus macrosoma,Eleutheronema tetradactylum,Epinephelus areolatus,Epinephelus coioides,Epinephelus tauvina,Lutjanus argentimaculatus,Lutjanus johnii,Lutjanus malabaricus,Muraenesox cinereus,Penaeus semisulcatus,Portunus pelagicus,Rhabdosargus sarba,Seriola dumerili,Sparidentex hasta,Terapon jarbua,Thenus orientalis,Trachinotus blochii"
"Romanian Exclusive economic Zone",22,5.032,"Acipenser nudiventris,Acipenser stellatus,Anguilla anguilla,Atherina boyeri,Cerastoderma edule,Cerastoderma glaucum,Dentex dentex,Diplodus puntazzo,Huso huso,Liza ramada,Mytilus edulis,Mytilus galloprovincialis,Pagellus erythrinus,Platichthys flesus,Salmo salar,Salmo trutta,Sciaena umbra,Scophthalmus maximus,Scophthalmus rhombus,Sparus aurata,Thunnus thynnus,Umbrina cirrosa"
"Russian Exclusive economic Zone",35,3.668,"Acanthopagrus schlegelii,Acipenser nudiventris,Acipenser stellatus,Anguilla anguilla,Cerastoderma edule,Cerastoderma glaucum,Chamelea gallina,Dicentrarchus labrax,Diplodus puntazzo,Gadus morhua,Hexagrammos otakii,Huso huso,Lateolabrax japonicus,Mizuhopecten yessoensis,Mya arenaria,Mytilus coruscus,Mytilus edulis,Mytilus galloprovincialis,Oncorhynchus gorbuscha,Oncorhynchus keta,Oncorhynchus kisutch,Oncorhynchus mykiss,Oncorhynchus nerka,Oncorhynchus tshawytscha,Platichthys flesus,Pleurogrammus azonus,Pomatomus saltatrix,Salmo salar,Salmo trutta,Scophthalmus maximus,Scophthalmus rhombus,Sparus aurata,Thunnus orientalis,Thunnus thynnus,Umbrina cirrosa"
"Saba Exclusive Economic Zone",18,3.781,"Anguilla rostrata,Callinectes sapidus,Caranx hippos,Centropomus undecimalis,Chaetodipterus faber,Crassostrea rhizophorae,Crassostrea virginica,Lutjanus purpureus,Megalops atlanticus,Micropogonias furnieri,Mugil curema,Mugil liza,Mycteroperca bonaci,Pagrus pagrus,Panulirus argus,Seriola lalandi,Thunnus thynnus,Trachinotus carolinus"
"Saint Kitts and Nevis Exclusive Economic Zone",19,3.829,"Anguilla anguilla,Anguilla rostrata,Callinectes sapidus,Caranx hippos,Centropomus undecimalis,Chaetodipterus faber,Crassostrea rhizophorae,Crassostrea virginica,Lutjanus purpureus,Megalops atlanticus,Micropogonias furnieri,Mugil curema,Mugil liza,Mycteroperca bonaci,Pagrus pagrus,Panulirus argus,Seriola lalandi,Thunnus thynnus,Trachinotus carolinus"
"Saint Lucia Exclusive Economic Zone",18,3.715,"Anguilla rostrata,Callinectes sapidus,Caranx hippos,Centropomus undecimalis,Chaetodipterus faber,Crassostrea rhizophorae,Crassostrea virginica,Lutjanus purpureus,Megalops atlanticus,Micropogonias furnieri,Mugil curema,Mugil liza,Mycteroperca bonaci,Pagrus pagrus,Panulirus argus,Seriola lalandi,Thunnus thynnus,Trachinotus carolinus"
"Saint Vincent and the Grenadines Exclusive Economic Zone",21,3.932,"Anguilla rostrata,Callinectes sapidus,Caranx hippos,Centropomus undecimalis,Chaetodipterus faber,Crassostrea rhizophorae,Crassostrea virginica,Ensis directus,Lutjanus purpureus,Megalops atlanticus,Micropogonias furnieri,Mugil curema,Mugil liza,Mycteroperca bonaci,Pagrus pagrus,Panulirus argus,Perna perna,Sciaenops ocellatus,Seriola lalandi,Thunnus thynnus,Trachinotus carolinus"
"Saint-Barthélemy Exclusive Economic Zone",16,3.597,"Anguilla anguilla,Anguilla rostrata,Callinectes sapidus,Caranx hippos,Centropomus undecimalis,Chaetodipterus faber,Lutjanus purpureus,Megalops atlanticus,Micropogonias furnieri,Mugil curema,Mugil liza,Mycteroperca bonaci,Pagrus pagrus,Panulirus argus,Seriola lalandi,Trachinotus carolinus"
"Saint-Martin Exclusive Economic Zone",17,3.636,"Anguilla rostrata,Callinectes sapidus,Caranx hippos,Centropomus undecimalis,Chaetodipterus faber,Crassostrea rhizophorae,Lutjanus purpureus,Megalops atlanticus,Micropogonias furnieri,Mugil curema,Mugil liza,Mycteroperca bonaci,Pagrus pagrus,Panulirus argus,Seriola lalandi,Thunnus thynnus,Trachinotus carolinus"
"Saint-Pierre and Miquelon Exclusive Economic Zone",10,2.138,"Anarhichas lupus,Anarhichas minor,Anguilla rostrata,Crassostrea virginica,Ensis directus,Gadus morhua,Hippoglossus hippoglossus,Melanogrammus aeglefinus,Morone saxatilis,Pseudopleuronectes americanus"
"Samoan Exclusive Economic Zone",15,4.199,"Caranx ignobilis,Chanos chanos,Hippopus hippopus,Lutjanus argentimaculatus,Naso vlamingii,Polydactylus sexfilis,Portunus pelagicus,Seriola rivoliana,Tegillarca granosa,Terapon jarbua,Thunnus albacares,Thunnus orientalis,Tridacna gigas,Tridacna squamosa,Turbo setosus"
"Sao Tome and Principe Exclusive Economic Zone",4,4.31,"Dentex gibbosus,Pagrus auriga,Pagrus caeruleostictus,Trachinotus ovatus"
"Saudi Arabian Exclusive Economic Zone",39,7.07,"Acanthopagrus berda,Acanthopagrus bifasciatus,Argyrosomus regius,Asaphis violascens,Bolbometopon muricatum,Carangoides malabaricus,Caranx ignobilis,Caranx sexfasciatus,Chanos chanos,Decapterus macrosoma,Epinephelus areolatus,Epinephelus chlorostigma,Epinephelus coioides,Epinephelus fuscoguttatus,Epinephelus lanceolatus,Epinephelus malabaricus,Epinephelus tauvina,Helicolenus dactylopterus,Lutjanus argentimaculatus,Lutjanus bohar,Lutjanus johnii,Metapenaeus monoceros,Muraenesox cinereus,Penaeus semisulcatus,Platax orbicularis,Portunus pelagicus,Rachycentron canadum,Rhabdosargus sarba,Ruditapes decussatus,Scylla serrata,Seriola dumerili,Siganus sutor,Sparidentex hasta,Terapon jarbua,Thenus orientalis,Thunnus albacares,Trachinotus blochii,Tridacna maxima,Tridacna squamosa"
"Senegalese Exclusive Economic Zone",32,4.43,"Anguilla anguilla,Argyrosomus regius,Caranx hippos,Dentex gibbosus,Dicentrarchus labrax,Dicentrarchus punctatus,Diplodus puntazzo,Diplodus vulgaris,Helicolenus dactylopterus,Megalops atlanticus,Mugil cephalus,Mugil curema,Pagellus erythrinus,Pagrus auriga,Pagrus caeruleostictus,Pagrus pagrus,Perna perna,Pomatomus saltatrix,Pseudocaranx dentex,Rachycentron canadum,Ruditapes decussatus,Schedophilus ovalis,Sciaena umbra,Scophthalmus rhombus,Seriola dumerili,Solea senegalensis,Solea solea,Sparus aurata,Thunnus albacares,Thunnus thynnus,Trachinotus ovatus,Venerupis corrugata"
"Seychellois Exclusive Economic Zone",23,4.519,"Acetes japonicus,Argyrosomus japonicus,Eleutheronema tetradactylum,Helicolenus dactylopterus,Lates calcarifer,Lutjanus erythropterus,Lutjanus malabaricus,Mugil cephalus,Naso vlamingii,Penaeus monodon,Perna viridis,Polydactylus sexfilis,Pomatomus saltatrix,Rachycentron canadum,Scomber japonicus,Seriola lalandi,Seriola rivoliana,Siganus canaliculatus,Siganus sutor,Tegillarca granosa,Thunnus albacares,Thunnus maccoyii,Turbo setosus"
"Sierra Leonian Exclusive Economic Zone",14,5.324,"Argyrosomus regius,Caranx hippos,Dentex gibbosus,Diplodus puntazzo,Maja squinado,Megalops atlanticus,Mugil curema,Pagrus auriga,Pagrus caeruleostictus,Pagrus pagrus,Pomatomus saltatrix,Sepia officinalis,Trachinotus ovatus,Venerupis corrugata"
"Sint-Eustatius Exclusive Economic Zone",18,3.744,"Anguilla anguilla,Anguilla rostrata,Callinectes sapidus,Caranx hippos,Centropomus undecimalis,Chaetodipterus faber,Crassostrea rhizophorae,Crassostrea virginica,Lutjanus purpureus,Megalops atlanticus,Micropogonias furnieri,Mugil curema,Mugil liza,Mycteroperca bonaci,Pagrus pagrus,Panulirus argus,Seriola lalandi,Trachinotus carolinus"
"Sint-Maarten Exclusive Economic Zone",15,3.513,"Anguilla rostrata,Callinectes sapidus,Caranx hippos,Centropomus undecimalis,Chaetodipterus faber,Lutjanus purpureus,Megalops atlanticus,Micropogonias furnieri,Mugil curema,Mugil liza,Mycteroperca bonaci,Pagrus pagrus,Panulirus argus,Seriola lalandi,Trachinotus carolinus"
"Slovenian Exclusive Economic Zone",38,3.774,"Aequipecten opercularis,Anguilla anguilla,Argyrosomus regius,Atherina boyeri,Bolinus brandaris,Carcinus aestuarii,Cerastoderma glaucum,Chamelea gallina,Dentex dentex,Dicentrarchus labrax,Dicentrarchus punctatus,Diplodus vulgaris,Haliotis tuberculata,Liza ramada,Maja squinado,Melicertus kerathurus,Mytilus galloprovincialis,Ostrea edulis,Pagellus bogaraveo,Pagellus erythrinus,Pagrus caeruleostictus,Palaemon serratus,Paracentrotus lividus,Pecten jacobaeus,Platichthys flesus,Portunus pelagicus,Ruditapes decussatus,Schedophilus ovalis,Sciaena umbra,Scophthalmus maximus,Scophthalmus rhombus,Sepia officinalis,Solea solea,Sparus aurata,Trachinotus ovatus,Umbrina cirrosa,Venerupis corrugata,Venus verrucosa"
"Solomon Islands Exclusive Economic Zone",33,4.938,"Carangoides malabaricus,Caranx ignobilis,Caranx sexfasciatus,Chanos chanos,Cromileptes altivelis,Hippopus hippopus,Lethrinus miniatus,Lutjanus argentimaculatus,Lutjanus erythropterus,Lutjanus johnii,Lutjanus malabaricus,Metapenaeus ensis,Naso vlamingii,Pinctada maxima,Polydactylus sexfilis,Portunus pelagicus,Portunus trituberculatus,Rachycentron canadum,Ruditapes philippinarum,Scomber japonicus,Scylla serrata,Seriola lalandi,Seriola rivoliana,Siganus canaliculatus,Siganus lineatus,Tegillarca granosa,Terapon jarbua,Thunnus albacares,Thunnus maccoyii,Thunnus orientalis,Tridacna gigas,Tridacna squamosa,Turbo setosus"
"Somali Exclusive Economic Zone",52,4.47,"Acanthopagrus berda,Acanthopagrus bifasciatus,Acetes japonicus,Argyrosomus japonicus,Asaphis violascens,Bolbometopon muricatum,Carangoides malabaricus,Caranx ignobilis,Caranx sexfasciatus,Chanos chanos,Decapterus macrosoma,Eleutheronema tetradactylum,Epinephelus areolatus,Epinephelus chlorostigma,Epinephelus coioides,Epinephelus fuscoguttatus,Epinephelus lanceolatus,Epinephelus malabaricus,Epinephelus tauvina,Helicolenus dactylopterus,Lutjanus argentimaculatus,Lutjanus bohar,Lutjanus johnii,Lutjanus malabaricus,Metapenaeus monoceros,Mugil cephalus,Muraenesox cinereus,Naso vlamingii,Penaeus semisulcatus,Perna perna,Perna viridis,Platax orbicularis,Polydactylus sexfilis,Pomatomus saltatrix,Portunus pelagicus,Pseudocaranx dentex,Rachycentron canadum,Rhabdosargus sarba,Scomber japonicus,Scylla serrata,Seriola dumerili,Seriola lalandi,Seriola rivoliana,Siganus sutor,Sparidentex hasta,Tegillarca granosa,Terapon jarbua,Thunnus albacares,Trachinotus blochii,Tridacna maxima,Tridacna squamosa,Turbo setosus"
"South African Exclusive Economic Zone",32,2.807,"Acanthopagrus berda,Argyrosomus japonicus,Aulacomya ater,Caranx hippos,Caranx ignobilis,Chanos chanos,Diplodus vulgaris,Epinephelus lanceolatus,Haliotis midae,Haliotis tuberculata,Helicolenus dactylopterus,Lutjanus argentimaculatus,Maja squinado,Mugil cephalus,Pagrus pagrus,Pecten jacobaeus,Perna perna,Platax orbicularis,Pomatomus saltatrix,Pseudocaranx dentex,Rachycentron canadum,Rhabdosargus sarba,Schedophilus ovalis,Scylla serrata,Seriola lalandi,Siganus sutor,Terapon jarbua,Thunnus albacares,Thunnus maccoyii,Thunnus thynnus,Venerupis corrugata,Venus verrucosa"
"South Korean Exclusive Economic Zone",45,3.134,"Acanthopagrus berda,Acanthopagrus schlegelii,Acetes japonicus,Anguilla japonica,Apostichopus japonicus,Argyrosomus japonicus,Chanos chanos,Dentex tumifrons,Epinephelus akaara,Hexagrammos otakii,Konosirus punctatus,Lateolabrax japonicus,Meretrix lusoria,Metapenaeus ensis,Miichthys miiuy,Mizuhopecten yessoensis,Mugil cephalus,Muraenesox cinereus,Mya arenaria,Mytilus coruscus,Mytilus edulis,Oncorhynchus gorbuscha,Oncorhynchus keta,Oplegnathus fasciatus,Pagrus major,Paralichthys olivaceus,Penaeus monodon,Penaeus semisulcatus,Placopecten magellanicus,Pleurogrammus azonus,Polydactylus sexfilis,Portunus pelagicus,Portunus trituberculatus,Rhabdosargus sarba,Ruditapes philippinarum,Scomber japonicus,Seriola dumerili,Seriola lalandi,Seriola rivoliana,Takifugu rubripes,Tegillarca granosa,Thunnus albacares,Thunnus orientalis,Trachurus japonicus,Turbo cornutus"
"Spanish Exclusive Economic Zone",10,3.269,"Carcinus maenas,Cerastoderma edule,Dicentrarchus labrax,Mytilus edulis,Ostrea edulis,Pagellus bogaraveo,Pecten maximus,Pollachius pollachius,Salmo trutta,Solea senegalensis"
"Spanish Exclusive Economic Zone (Canary Islands)",5,2.916,"Dicentrarchus labrax,Pagellus bogaraveo,Paracentrotus lividus,Solea senegalensis,Venerupis corrugata"
"Sri Lankan Exclusive Economic Zone",60,3.96,"Acanthopagrus berda,Acetes japonicus,Argyrosomus japonicus,Asaphis violascens,Bolbometopon muricatum,Carangoides malabaricus,Caranx ignobilis,Caranx sexfasciatus,Chanos chanos,Cromileptes altivelis,Decapterus macrosoma,Eleutheronema tetradactylum,Epinephelus areolatus,Epinephelus chlorostigma,Epinephelus coioides,Epinephelus fuscoguttatus,Epinephelus lanceolatus,Epinephelus malabaricus,Epinephelus tauvina,Lates calcarifer,Lutjanus argentimaculatus,Lutjanus bohar,Lutjanus erythropterus,Lutjanus johnii,Lutjanus malabaricus,Metapenaeus ensis,Metapenaeus monoceros,Mugil cephalus,Muraenesox cinereus,Naso vlamingii,Panulirus polyphagus,Penaeus monodon,Penaeus semisulcatus,Perna viridis,Pinctada maxima,Platax orbicularis,Polydactylus sexfilis,Pomatomus saltatrix,Portunus pelagicus,Portunus trituberculatus,Rachycentron canadum,Rhabdosargus sarba,Ruditapes philippinarum,Scomber japonicus,Scylla serrata,Seriola dumerili,Seriola lalandi,Seriola rivoliana,Siganus canaliculatus,Siganus lineatus,Siganus sutor,Tegillarca granosa,Terapon jarbua,Thenus orientalis,Thunnus albacares,Trachinotus blochii,Tridacna gigas,Tridacna maxima,Tridacna squamosa,Turbo setosus"
"St. Helena Exclusive Economic Zone",2,2.862,"Diplodus vulgaris,Schedophilus ovalis"
"Sudanese Exclusive Economic Zone",33,7.76,"Acanthopagrus berda,Acanthopagrus bifasciatus,Asaphis violascens,Bolbometopon muricatum,Caranx ignobilis,Caranx sexfasciatus,Decapterus macrosoma,Epinephelus areolatus,Epinephelus chlorostigma,Epinephelus coioides,Epinephelus fuscoguttatus,Epinephelus lanceolatus,Epinephelus malabaricus,Epinephelus tauvina,Helicolenus dactylopterus,Lutjanus argentimaculatus,Lutjanus bohar,Lutjanus johnii,Metapenaeus monoceros,Mugil cephalus,Muraenesox cinereus,Penaeus semisulcatus,Platax orbicularis,Portunus pelagicus,Rhabdosargus sarba,Seriola dumerili,Seriola rivoliana,Terapon jarbua,Thenus orientalis,Thunnus albacares,Trachinotus blochii,Tridacna maxima,Tridacna squamosa"
"Surinamese Exclusive Economic Zone",21,2.832,"Anguilla rostrata,Callinectes sapidus,Caranx hippos,Centropomus undecimalis,Chaetodipterus faber,Crassostrea rhizophorae,Crassostrea virginica,Ensis directus,Lutjanus purpureus,Megalops atlanticus,Micropogonias furnieri,Mugil curema,Mugil liza,Mycteroperca bonaci,Pagrus pagrus,Panulirus argus,Perna perna,Sciaenops ocellatus,Seriola lalandi,Thunnus thynnus,Trachinotus carolinus"
"Swedish Exclusive Economic Zone",28,3.485,"Aequipecten opercularis,Anarhichas minor,Anguilla anguilla,Carcinus maenas,Cerastoderma edule,Cerastoderma glaucum,Chamelea gallina,Dicentrarchus labrax,Gadus morhua,Helicolenus dactylopterus,Hippoglossus hippoglossus,Melanogrammus aeglefinus,Mytilus edulis,Ostrea edulis,Pagellus bogaraveo,Pagellus erythrinus,Palaemon serratus,Pecten maximus,Platichthys flesus,Pollachius pollachius,Salmo salar,Salmo trutta,Scophthalmus maximus,Scophthalmus rhombus,Sepia officinalis,Solea solea,Thunnus thynnus,Trachinotus ovatus"
"Syrian Exclusive Economic Zone",35,6.028,"Aequipecten opercularis,Argyrosomus regius,Atherina boyeri,Bolinus brandaris,Carcinus aestuarii,Cerastoderma glaucum,Chamelea gallina,Dentex dentex,Dentex gibbosus,Dicentrarchus punctatus,Diplodus puntazzo,Diplodus vulgaris,Haliotis tuberculata,Liza ramada,Maja squinado,Melicertus kerathurus,Mytilus galloprovincialis,Pagellus erythrinus,Pagrus auriga,Pagrus caeruleostictus,Palaemon serratus,Paracentrotus lividus,Pecten jacobaeus,Platichthys flesus,Pseudocaranx dentex,Ruditapes decussatus,Sciaena umbra,Scophthalmus maximus,Scophthalmus rhombus,Sepia officinalis,Sparus aurata,Thunnus thynnus,Trachinotus ovatus,Umbrina cirrosa,Venus verrucosa"
"Taiwanese Exclusive Economic Zone",46,4.162,"Acanthopagrus schlegelii,Acetes japonicus,Anguilla japonica,Argyrosomus japonicus,Cromileptes altivelis,Dentex tumifrons,Eleutheronema tetradactylum,Epinephelus akaara,Epinephelus bruneus,Hippopus hippopus,Konosirus punctatus,Larimichthys crocea,Lateolabrax japonicus,Lates calcarifer,Lethrinus miniatus,Lutjanus erythropterus,Lutjanus malabaricus,Meretrix lusoria,Metapenaeus ensis,Miichthys miiuy,Mytilus galloprovincialis,Naso vlamingii,Oncorhynchus mykiss,Oplegnathus fasciatus,Pagrus auratus,Pagrus major,Panulirus polyphagus,Paralichthys olivaceus,Penaeus monodon,Penaeus penicillatus,Perna viridis,Pinctada maxima,Polydactylus sexfilis,Portunus trituberculatus,Pseudocaranx dentex,Ruditapes philippinarum,Scomber japonicus,Seriola lalandi,Siganus canaliculatus,Siganus lineatus,Takifugu rubripes,Tegillarca granosa,Thunnus orientalis,Tridacna gigas,Turbo cornutus,Turbo setosus"
"Tanzanian Exclusive Economic Zone",10,3.001,"Argyrosomus japonicus,Naso vlamingii,Perna perna,Perna viridis,Pomatomus saltatrix,Rachycentron canadum,Scomber japonicus,Seriola lalandi,Siganus sutor,Tegillarca granosa"
"Thailand Exclusive Economic Zone",55,3.277,"Acanthopagrus berda,Acetes japonicus,Asaphis violascens,Carangoides malabaricus,Caranx ignobilis,Cromileptes altivelis,Decapterus macrosoma,Eleutheronema tetradactylum,Epinephelus areolatus,Epinephelus chlorostigma,Epinephelus coioides,Epinephelus fuscoguttatus,Epinephelus lanceolatus,Epinephelus malabaricus,Epinephelus tauvina,Hippopus hippopus,Lates calcarifer,Lutjanus argentimaculatus,Lutjanus bohar,Lutjanus erythropterus,Lutjanus johnii,Lutjanus malabaricus,Metapenaeus ensis,Metapenaeus monoceros,Muraenesox cinereus,Naso vlamingii,Panulirus polyphagus,Penaeus monodon,Penaeus semisulcatus,Perna viridis,Pinctada maxima,Platax orbicularis,Polydactylus sexfilis,Pomatomus saltatrix,Portunus pelagicus,Portunus trituberculatus,Rhabdosargus sarba,Ruditapes philippinarum,Scomber japonicus,Scylla serrata,Seriola dumerili,Seriola lalandi,Seriola rivoliana,Siganus canaliculatus,Siganus lineatus,Siganus sutor,Tegillarca granosa,Terapon jarbua,Thenus orientalis,Thunnus albacares,Trachinotus blochii,Tridacna gigas,Tridacna maxima,Tridacna squamosa,Turbo setosus"
"Togolese Exclusive Economic Zone",7,4.213,"Argyrosomus regius,Dentex gibbosus,Maja squinado,Pagrus auriga,Pagrus caeruleostictus,Trachinotus ovatus,Venerupis corrugata"
"Tokelau Exclusive Economic Zone",16,4.837,"Caranx ignobilis,Caranx sexfasciatus,Chanos chanos,Hippopus hippopus,Lutjanus argentimaculatus,Naso vlamingii,Portunus pelagicus,Seriola rivoliana,Tegillarca granosa,Terapon jarbua,Thunnus albacares,Thunnus maccoyii,Thunnus orientalis,Tridacna gigas,Tridacna squamosa,Turbo setosus"
"Tongan Exclusive Economic Zone",9,4.434,"Hippopus hippopus,Lutjanus malabaricus,Naso vlamingii,Pseudocaranx dentex,Seriola lalandi,Tegillarca granosa,Thunnus orientalis,Tridacna gigas,Turbo setosus"
"Trinidad and Tobago Exclusive Economic Zone",23,3.68,"Anguilla anguilla,Anguilla rostrata,Callinectes sapidus,Caranx hippos,Centropomus undecimalis,Chaetodipterus faber,Crassostrea rhizophorae,Crassostrea virginica,Ensis directus,Lutjanus purpureus,Megalops atlanticus,Micropogonias furnieri,Mugil curema,Mugil liza,Mycteroperca bonaci,Pagrus pagrus,Panulirus argus,Perna perna,Pomatomus saltatrix,Sciaenops ocellatus,Seriola lalandi,Thunnus thynnus,Trachinotus carolinus"
"Tunisian Exclusive Economic Zone",40,3.86,"Aequipecten opercularis,Anguilla anguilla,Argyrosomus regius,Atherina boyeri,Bolinus brandaris,Carcinus aestuarii,Cerastoderma glaucum,Chamelea gallina,Dentex dentex,Dentex gibbosus,Dicentrarchus labrax,Dicentrarchus punctatus,Diplodus puntazzo,Diplodus vulgaris,Haliotis tuberculata,Liza ramada,Maja squinado,Melicertus kerathurus,Ostrea edulis,Pagellus bogaraveo,Pagellus erythrinus,Pagrus auriga,Pagrus caeruleostictus,Palaemon serratus,Paracentrotus lividus,Pecten jacobaeus,Pecten maximus,Platichthys flesus,Ruditapes decussatus,Schedophilus ovalis,Sciaena umbra,Scophthalmus maximus,Scophthalmus rhombus,Sepia officinalis,Solea solea,Sparus aurata,Trachinotus ovatus,Umbrina cirrosa,Venerupis corrugata,Venus verrucosa"
"Turkish Exclusive Economic Zone",49,4.656,"Acipenser nudiventris,Acipenser stellatus,Aequipecten opercularis,Anguilla anguilla,Argyrosomus regius,Atherina boyeri,Bolinus brandaris,Carcinus aestuarii,Cerastoderma edule,Cerastoderma glaucum,Chamelea gallina,Dentex dentex,Dentex gibbosus,Dicentrarchus labrax,Dicentrarchus punctatus,Diplodus puntazzo,Diplodus vulgaris,Haliotis tuberculata,Huso huso,Liza ramada,Maja squinado,Melicertus kerathurus,Mytilus edulis,Mytilus galloprovincialis,Ostrea edulis,Pagellus bogaraveo,Pagellus erythrinus,Pagrus auriga,Pagrus caeruleostictus,Pagrus pagrus,Palaemon serratus,Paracentrotus lividus,Pecten jacobaeus,Platichthys flesus,Pomatomus saltatrix,Ruditapes decussatus,Salmo salar,Salmo trutta,Schedophilus ovalis,Sciaena umbra,Scophthalmus maximus,Scophthalmus rhombus,Sepia officinalis,Sparus aurata,Thunnus thynnus,Trachinotus ovatus,Umbrina cirrosa,Venerupis corrugata,Venus verrucosa"
"Turks and Caicos Exclusive Economic Zone",21,5.352,"Anguilla anguilla,Anguilla rostrata,Callinectes sapidus,Caranx hippos,Centropomus undecimalis,Chaetodipterus faber,Crassostrea rhizophorae,Crassostrea virginica,Lutjanus purpureus,Megalops atlanticus,Micropogonias furnieri,Mugil curema,Mugil liza,Mycteroperca bonaci,Pagrus pagrus,Panulirus argus,Pomatomus saltatrix,Rachycentron canadum,Seriola lalandi,Thunnus thynnus,Trachinotus carolinus"
"Tuvaluan Exclusive Economic Zone",12,4.73,"Caranx ignobilis,Hippopus hippopus,Lutjanus argentimaculatus,Naso vlamingii,Portunus pelagicus,Seriola rivoliana,Tegillarca granosa,Thunnus albacares,Thunnus orientalis,Tridacna gigas,Tridacna squamosa,Turbo setosus"
